head_tilt_mean,head_velocity_mean,nose_tip_jitter_x_mean,nose_tip_jitter_y_mean,nose_tip_jitter_z_mean,gaze_deviation_mean,eye_openness_mean,mouth_openness_mean,lip_compression_mean,facial_asymmetry_mean,head_tilt_std,head_velocity_std,nose_tip_jitter_x_std,nose_tip_jitter_y_std,nose_tip_jitter_z_std,gaze_deviation_std,eye_openness_std,mouth_openness_std,lip_compression_std,facial_asymmetry_std,label
3.78905831147375,0.0027064082114794,0.0017291128635405,0.0017922927935917,0.0004348057011762,0.0058436424393265,0.6259144292493669,0.9807266721276752,0.076866286582005,0.0046563711111017,7.730036637462895,0.0020180741830594,0.0016362758839834,0.0014999130278388,0.0003333435946401,0.001219336357729,0.0977297526821031,0.0900506099013176,0.0076014786231341,0.0033203152530133,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-8.273711874731438,0.0048887074747621,0.0017720619837442,0.0041943063338597,0.000603708003958,0.0065841786736336,0.6230166730960751,1.0395092963314685,0.0637609033971849,0.0031632614514169,4.97388191285709,0.0029150577292478,0.0021269031473385,0.0025691406104688,0.0005221016982934,0.0012911083177761,0.1055518085792725,0.1160185613122628,0.0076703672676894,0.0024222780942145,1
-17.25794606878339,0.0043606741794945,0.0021674593289692,0.0034511744976043,0.000468397202591,0.0019333715825432,0.4331982244086235,0.9207244131903451,0.0242855298346222,0.0021785226056062,4.501257196084804,0.0032712743466033,0.0021854581747404,0.0028311113626954,0.0004157514736481,0.0005676079799484,0.0596540810602329,0.1531100051551414,0.0027292069208296,0.0010656993898246,1
-10.644975297713684,0.0062026941555986,0.001115404566129,0.0058374603589375,0.0005736993004877,0.0026089763214228,0.7964028575158207,1.13980987343812,0.0328460825848025,0.0040812823825399,2.487838968440514,0.003501412472154,0.0008188199689176,0.0037793485283486,0.0004770195291367,0.0002982662260789,0.0470335807213502,0.2459380443713513,0.0072351559373757,0.0006791988696125,1
3.492699369460949,0.0057280391213313,0.0021563341220219,0.0045141557852426,0.0008198393508791,0.0034233265108944,0.5259280146750273,0.9288875603647136,0.0374500717526239,0.0031171759157798,5.439331935747633,0.0066277607834041,0.0042483826410851,0.0056093682546057,0.0013302503700644,0.0009026857387723,0.1946612184884892,0.1398283006893293,0.005991525234512,0.0016263188464611,0
-8.225576409304137,0.0047961634106373,0.0037797143061955,0.0020820627609888,0.000371803343296,0.002679061615922,0.2195772529857769,0.5786346652864925,0.0319387367791414,0.0014725687932745,2.8330816809723336,0.0045498543863795,0.0045154268648339,0.0021255245531948,0.0004292969549465,0.0014053276338725,0.129914214099668,0.123241142821469,0.0068941654344545,0.0011367812507453,1
-7.3854357346266175,0.0030740640250441,0.0018171469370523,0.0020099292198816,0.0003438693781693,0.0061071868151665,0.6427779960276817,0.7853134330223726,0.0512209006620197,0.0023072411360102,2.8545365845429025,0.0022200270809967,0.0019048018919824,0.0018091930969674,0.0002923501807561,0.000737893665862,0.0802701806258229,0.1366543263692854,0.0080242970724206,0.0016924517456246,1
-7.50919268286463,0.0057014793055615,0.005186046163241,0.0013463824987411,0.000437933516999,0.0041271247771936,0.577918439664295,0.6348826879072702,0.0233039354443468,0.001777885719957,2.2529125786989503,0.0055668612604527,0.0058197358430564,0.0008321966699253,0.0003996446549646,0.0007109887807085,0.1023334666515856,0.0941905793240767,0.0038473403265803,0.0006706611435587,0
2.5432022952322737,0.0035334628782166,0.0028881003459294,0.0014393458763757,0.0002078520754972,0.0024586971160484,0.5555842391791603,0.558738275502532,0.0207213754215509,0.0004259426515395,1.7405788868863885,0.0019054286970563,0.0019626141341806,0.0013616826931556,0.0001546552519409,0.000485025312674,0.0779110582502004,0.0513886236952558,0.0016188797004925,0.0003650095454535,1
